Time[s], MOSI, MISO, SCLK, CSC
6.224512874999999, 1, 1, 1, 0
6.224513125000000, 1, 1, 0, 0
6.224514249999999, 0, 1, 1, 0
6.224514375000000, 0, 1, 0, 0
6.224514624999999, 0, 1, 1, 0
6.224514875000000, 0, 1, 0, 0
6.224515125000000, 0, 1, 1, 0
6.224515374999999, 0, 1, 0, 0
6.224515500000000, 0, 1, 1, 0
6.224515750000000, 0, 1, 0, 0
6.224515999999999, 0, 1, 1, 0
6.224516250000000, 0, 1, 0, 0
6.224516374999999, 1, 1, 1, 0
6.224516625000000, 1, 1, 0, 0
6.224516875000000, 1, 1, 1, 0
6.224517124999999, 1, 1, 0, 0
6.224517375000000, 0, 1, 1, 0
6.224517500000000, 0, 1, 0, 0
6.224518874999999, 0, 1, 0, 1
6.224740250000000, 0, 1, 0, 0
6.224740874999999, 0, 1, 1, 0
6.224741125000000, 0, 1, 0, 0
6.224741375000000, 0, 1, 1, 0
6.224741499999999, 0, 1, 0, 0
6.224741750000000, 1, 1, 1, 0
6.224742000000000, 1, 1, 0, 0
6.224742249999999, 1, 1, 1, 0
6.224742375000000, 1, 1, 0, 0
6.224742624999999, 0, 1, 1, 0
6.224742875000000, 0, 1, 0, 0
6.224743125000000, 0, 1, 1, 0
6.224743375000000, 0, 1, 0, 0
6.224743500000000, 1, 1, 1, 0
6.224743750000000, 1, 1, 0, 0
6.224743999999999, 0, 1, 1, 0
6.224744250000000, 0, 1, 0, 0
6.224745374999999, 1, 1, 1, 0
6.224745625000000, 1, 1, 0, 0
6.224745749999999, 0, 1, 1, 0
6.224746000000000, 0, 1, 0, 0
6.224746250000000, 1, 1, 1, 0
6.224746499999999, 1, 1, 0, 0
6.224746625000000, 0, 1, 1, 0
6.224746875000000, 0, 1, 0, 0
6.224747124999999, 1, 1, 1, 0
6.224747375000000, 1, 1, 0, 0
6.224747625000000, 0, 1, 1, 0
6.224747750000000, 0, 1, 0, 0
6.224748000000000, 1, 1, 1, 0
6.224748249999999, 1, 1, 0, 0
6.224748500000000, 1, 1, 1, 0
6.224748625000000, 1, 1, 0, 0
6.224749750000000, 1, 1, 1, 0
6.224749999999999, 1, 1, 0, 0
