Time [s],MOSI,MISO,SCK,CS
1.806491125,1,0,0,0
1.806491250,1,0,1,0
1.806491375,0,0,0,0
1.806491458,0,0,1,0
1.806491583,1,0,0,0
1.806491708,1,0,1,0
1.806491792,1,0,0,0
1.806491833,1,1,0,0
1.806491917,1,1,1,0
1.806492042,0,1,0,0
1.806492125,0,1,1,0
1.806492250,0,1,0,0
1.806492375,0,1,1,0
1.806492458,0,1,0,0
1.806492583,0,1,1,0
1.806492708,1,0,0,0
1.806493583,1,0,0,1
1.806494625,1,0,0,0
1.806494958,0,0,0,0
1.806495125,0,0,1,0
1.806495250,0,0,0,0
1.806495375,0,0,1,0
1.806495458,1,0,0,0
1.806495583,1,0,1,0
1.806495708,0,0,0,0
1.806495792,0,0,1,0
1.806495917,0,1,0,0
1.806496042,0,1,1,0
1.806496125,1,1,0,0
1.806496250,1,1,1,0
1.806496375,0,1,0,0
1.806496458,0,1,1,0
1.806496583,1,1,0,0
1.806496708,1,1,1,0
1.806496792,0,1,0,0
1.806496833,0,0,0,0
1.806497417,0,0,1,0
1.806497542,0,0,0,0
1.806497625,0,0,1,0
1.806497750,1,0,0,0
1.806497875,1,0,1,0
1.806497958,0,0,0,0
1.806498083,0,0,1,0
1.806498208,0,1,0,0
1.806498292,0,1,1,0
1.806498417,1,1,0,0
1.806498542,1,1,1,0
1.806498625,0,1,0,0
1.806498750,0,1,1,0
1.806498875,0,1,0,0
1.806498958,0,1,1,0
1.806499083,0,0,0,0
1.806499958,0,0,0,1
1.806500833,0,0,0,0
1.806501375,0,0,1,0
1.806501500,0,0,0,0
1.806501625,0,0,1,0
1.806501708,1,0,0,0
1.806501833,1,0,1,0
1.806501958,1,0,0,0
1.806502042,1,0,1,0
1.806502167,1,1,0,0
1.806502292,1,1,1,0
1.806502375,0,1,0,0
1.806502500,0,1,1,0
1.806502625,1,1,0,0
1.806502708,1,1,1,0
1.806502833,1,1,0,0
1.806502958,1,1,1,0
1.806503042,0,1,0,0
1.806503083,0,0,0,0
1.806503917,0,0,0,1
1.806504875,0,0,0,0
1.806505375,0,0,1,0
1.806505500,1,0,0,0
1.806505625,1,0,1,0
1.806505708,1,0,0,0
1.806505833,1,0,1,0
1.806505958,1,0,0,0
1.806506042,1,0,1,0
1.806506167,1,1,0,0
1.806506292,1,1,1,0
1.806506375,1,1,0,0
1.806506500,1,1,1,0
1.806506625,1,1,0,0
1.806506708,1,1,1,0
1.806506833,1,1,0,0
1.806506958,1,1,1,0
1.806507042,0,1,0,0
1.806507083,0,0,0,0
1.806507708,0,0,1,0
1.806507792,0,0,0,0
1.806507833,1,0,0,0
1.806507917,1,0,1,0
1.806508042,0,0,0,0
1.806508125,0,0,1,0
1.806508250,1,0,0,0
1.806508375,1,0,1,0
1.806508458,0,0,0,0
1.806508500,0,1,0,0
1.806508583,0,1,1,0
1.806508708,1,1,0,0
1.806508792,1,1,1,0
1.806508917,0,1,0,0
1.806509042,0,1,1,0
1.806509125,0,1,0,0
1.806509167,1,1,0,0
1.806509250,1,1,1,0
1.806509375,0,0,0,0
1.806510083,0,0,1,0
1.806510208,1,0,0,0
1.806510333,1,0,1,0
1.806510417,0,0,0,0
1.806510542,0,0,1,0
1.806510625,0,0,0,0
1.806510667,1,0,0,0
1.806510750,1,0,1,0
1.806510875,0,1,0,0
1.806511000,0,1,1,0
1.806511083,1,1,0,0
1.806511208,1,1,1,0
1.806511292,1,1,0,0
1.806511333,0,1,0,0
1.806511417,0,1,1,0
1.806511542,1,1,0,0
1.806511667,1,1,1,0
1.806511750,0,0,0,0
1.806512500,0,0,1,0
1.806512583,1,0,0,0
1.806512708,1,0,1,0
1.806512792,1,0,0,0
1.806512833,0,0,0,0
1.806512917,0,0,1,0
1.806513042,1,0,0,0
1.806513167,1,0,1,0
1.806513250,0,1,0,0
1.806513375,0,1,1,0
1.806513458,0,1,0,0
1.806513500,1,1,0,0
1.806513583,1,1,1,0
1.806513708,0,1,0,0
1.806513833,0,1,1,0
1.806513917,1,1,0,0
1.806514042,1,1,1,0
1.806514125,1,1,0,0
1.806514167,0,0,0,0
1.806514875,0,0,1,0
1.806515000,1,0,0,0
1.806515083,1,0,1,0
1.806515208,0,0,0,0
1.806515333,0,0,1,0
1.806515417,0,0,0,0
1.806515542,0,0,1,0
1.806515667,0,1,0,0
1.806515750,0,1,1,0
1.806515875,1,1,0,0
1.806516000,1,1,1,0
1.806516083,0,1,0,0
1.806516208,0,1,1,0
1.806516333,0,1,0,0
1.806516417,0,1,1,0
1.806516542,0,0,0,0
1.806517083,1,0,0,0
1.806517250,1,0,1,0
1.806517375,0,0,0,0
1.806517500,0,0,1,0
1.806517583,0,0,0,0
1.806517708,0,0,1,0
1.806517833,0,0,0,0
1.806517917,0,0,1,0
1.806518042,1,1,0,0
1.806518167,1,1,1,0
1.806518250,0,1,0,0
1.806518375,0,1,1,0
1.806518500,0,1,0,0
1.806518583,0,1,1,0
1.806518708,0,1,0,0
1.806518833,0,1,1,0
1.806518917,1,1,0,0
1.806518958,1,0,0,0
1.806519667,1,0,1,0
1.806519750,0,0,0,0
1.806519875,0,0,1,0
1.806520000,1,0,0,0
1.806520083,1,0,1,0
1.806520208,0,0,0,0
1.806520333,0,0,1,0
1.806520417,1,1,0,0
1.806520542,1,1,1,0
1.806520667,0,1,0,0
1.806520750,0,1,1,0
1.806520875,1,1,0,0
1.806521000,1,1,1,0
1.806521083,0,1,0,0
1.806521208,0,1,1,0
1.806521333,1,0,0,0
1.806521833,0,0,0,0
1.806522042,0,0,1,0
1.806522167,1,0,0,0
1.806522250,1,0,1,0
1.806522375,0,0,0,0
1.806522500,0,0,1,0
1.806522583,1,0,0,0
1.806522708,1,0,1,0
1.806522833,0,1,0,0
1.806522917,0,1,1,0
1.806523042,0,1,0,0
1.806523167,0,1,1,0
1.806523250,0,1,0,0
1.806523375,0,1,1,0
1.806523500,0,1,0,0
1.806523583,0,1,1,0
1.806523708,0,0,0,0
1.806524417,0,0,1,0
1.806524542,0,0,0,0
1.806524667,0,0,1,0
1.806524750,0,0,0,0
1.806524875,0,0,1,0
1.806525000,0,0,0,0
1.806525083,0,0,1,0
1.806525208,0,1,0,0
1.806525333,0,1,1,0
1.806525417,0,1,0,0
1.806525542,0,1,1,0
1.806525667,0,1,0,0
1.806525750,0,1,1,0
1.806525875,0,1,0,0
1.806526000,0,1,1,0
1.806526083,0,1,0,0
1.806526125,0,0,0,0
1.806526625,1,0,0,0
1.806526833,1,0,1,0
1.806526917,0,0,0,0
1.806527042,0,0,1,0
1.806527167,0,0,0,0
1.806527250,0,0,1,0
1.806527375,0,0,0,0
1.806527500,0,0,1,0
1.806527583,1,0,0,0
1.806527625,1,1,0,0
1.806527708,1,1,1,0
1.806527833,0,1,0,0
1.806527917,0,1,1,0
1.806528042,0,1,0,0
1.806528167,0,1,1,0
1.806528250,0,1,0,0
1.806528375,0,1,1,0
1.806528500,1,0,0,0
1.806529000,0,0,0,0
1.806529208,0,0,1,0
1.806529333,1,0,0,0
1.806529417,1,0,1,0
1.806529542,0,0,0,0
1.806529667,0,0,1,0
1.806529750,0,0,0,0
1.806529875,0,0,1,0
1.806530000,0,1,0,0
1.806530083,0,1,1,0
1.806530208,1,1,0,0
1.806530333,1,1,1,0
1.806530417,0,1,0,0
1.806530542,0,1,1,0
1.806530667,0,1,0,0
1.806530750,0,1,1,0
1.806530875,0,0,0,0
1.806531417,1,0,0,0
1.806531583,1,0,1,0
1.806531708,1,0,0,0
1.806531833,1,0,1,0
1.806531917,0,0,0,0
1.806532042,0,0,1,0
1.806532167,0,0,0,0
1.806532250,0,0,1,0
1.806532375,1,1,0,0
1.806532500,1,1,1,0
1.806532583,1,1,0,0
1.806532708,1,1,1,0
1.806532833,0,1,0,0
1.806532917,0,1,1,0
1.806533042,0,1,0,0
1.806533167,0,1,1,0
1.806533250,1,1,0,0
1.806533292,1,0,0,0
1.806533792,0,0,0,0
1.806534000,0,0,1,0
1.806534083,1,0,0,0
1.806534208,1,0,1,0
1.806534333,1,0,0,0
1.806534417,1,0,1,0
1.806534542,0,0,0,0
1.806534667,0,0,1,0
1.806534750,0,0,0,0
1.806534792,0,1,0,0
1.806534875,0,1,1,0
1.806535000,0,1,0,0
1.806535083,0,1,1,0
1.806535208,0,1,0,0
1.806535333,0,1,1,0
1.806535417,0,1,0,0
1.806535542,0,1,1,0
1.806535667,0,0,0,0
1.806536167,1,0,0,0
1.806536375,1,0,1,0
1.806536500,1,0,0,0
