Time [s],MOSI,MISO,SCK,NRF_CS,NRF_CE,RESET_n,Channel 6,Channel 7
2.206710292,0,0,1,0,1,1,1,1
2.206710417,0,0,0,0,1,1,1,1
2.206710500,0,0,1,0,1,1,1,1
2.206710625,1,0,0,0,1,1,1,1
2.206710750,1,0,1,0,1,1,1,1
2.206710833,0,0,0,0,1,1,1,1
2.206710958,0,0,1,0,1,1,1,1
2.206711083,0,1,0,0,1,1,1,1
2.206711167,0,1,1,0,1,1,1,1
2.206711292,1,1,0,0,1,1,1,1
2.206711417,1,1,1,0,1,1,1,1
2.206711500,1,1,0,0,1,1,1,1
2.206711625,1,1,1,0,1,1,1,1
2.206711750,1,0,0,0,1,1,1,1
2.206711833,1,0,1,0,1,1,1,1
2.206711958,0,0,0,0,1,1,1,1
2.206712583,0,0,1,0,1,1,1,1
2.206712667,1,0,0,0,1,1,1,1
2.206712792,1,0,1,0,1,1,1,1
2.206712917,1,0,0,0,1,1,1,1
2.206713000,1,0,1,0,1,1,1,1
2.206713125,1,0,0,0,1,1,1,1
2.206713250,1,0,1,0,1,1,1,1
2.206713333,0,0,0,0,1,1,1,1
2.206713458,0,0,1,0,1,1,1,1
2.206713583,0,0,0,0,1,1,1,1
2.206713667,0,0,1,0,1,1,1,1
2.206713792,0,0,0,0,1,1,1,1
2.206713917,0,0,1,0,1,1,1,1
2.206714000,0,0,0,0,1,1,1,1
2.206714125,0,0,1,0,1,1,1,1
2.206714250,0,0,0,0,1,1,1,1
2.206715125,0,0,0,1,1,1,1,1
2.206716167,0,0,0,0,1,1,1,1
2.206716500,1,0,0,0,1,1,1,1
2.206716708,1,0,1,0,1,1,1,1
2.206716833,1,0,0,0,1,1,1,1
2.206716917,1,0,1,0,1,1,1,1
2.206717042,1,0,0,0,1,1,1,1
2.206717167,1,0,1,0,1,1,1,1
2.206717250,0,0,0,0,1,1,1,1
2.206717375,0,0,1,0,1,1,1,1
2.206717500,0,1,0,0,1,1,1,1
2.206717583,0,1,1,0,1,1,1,1
2.206717708,0,1,0,0,1,1,1,1
2.206717833,0,1,1,0,1,1,1,1
2.206717917,0,1,0,0,1,1,1,1
2.206718042,0,1,1,0,1,1,1,1
2.206718167,1,0,0,0,1,1,1,1
2.206718250,1,0,1,0,1,1,1,1
2.206718375,1,0,0,0,1,1,1,1
2.206719250,1,0,0,1,1,1,1,1
2.206720167,1,0,0,0,1,1,1,1
2.206720542,0,0,0,0,1,1,1,1
2.206720750,0,0,1,0,1,1,1,1
2.206720833,0,0,0,0,1,1,1,1
2.206720958,0,0,1,0,1,1,1,1
2.206721083,1,0,0,0,1,1,1,1
2.206721208,1,0,1,0,1,1,1,1
2.206721292,0,0,0,0,1,1,1,1
2.206721417,0,0,1,0,1,1,1,1
2.206721500,0,0,0,0,1,1,1,1
2.206721542,0,1,0,0,1,1,1,1
2.206721625,0,1,1,0,1,1,1,1
2.206721750,0,1,0,0,1,1,1,1
2.206721875,0,1,1,0,1,1,1,1
2.206721958,0,1,0,0,1,1,1,1
2.206722083,0,1,1,0,1,1,1,1
2.206722167,0,1,0,0,1,1,1,1
2.206722208,0,0,0,0,1,1,1,1
2.206722292,0,0,1,0,1,1,1,1
2.206722417,0,0,0,0,1,1,1,1
2.206723042,0,0,1,0,1,1,1,1
2.206723125,0,0,0,0,1,1,1,1
2.206723250,0,0,1,0,1,1,1,1
2.206723333,0,0,0,0,1,1,1,1
2.206723458,0,0,1,0,1,1,1,1
2.206723583,0,0,0,0,1,1,1,1
2.206723708,0,0,1,0,1,1,1,1
2.206723792,0,0,0,0,1,1,1,1
2.206723917,0,0,1,0,1,1,1,1
2.206724000,0,0,0,0,1,1,1,1
2.206724125,0,0,1,0,1,1,1,1
2.206724250,1,0,0,0,1,1,1,1
2.206724375,1,0,1,0,1,1,1,1
2.206724458,0,0,0,0,1,1,1,1
2.206724583,0,0,1,0,1,1,1,1
2.206724667,0,0,0,0,1,1,1,1
2.206725583,0,0,0,1,1,1,1,1
2.206727333,0,1,0,1,1,1,1,1
2.206864458,0,1,0,0,1,1,1,1
2.206864500,0,0,0,0,1,1,1,1
2.206865042,0,0,1,0,1,1,1,1
2.206865167,0,0,0,0,1,1,1,1
2.206865292,0,0,1,0,1,1,1,1
2.206865375,1,0,0,0,1,1,1,1
2.206865500,1,0,1,0,1,1,1,1
2.206865625,0,0,0,0,1,1,1,1
2.206865708,0,0,1,0,1,1,1,1
2.206865833,0,0,0,0,1,1,1,1
2.206865875,0,1,0,0,1,1,1,1
2.206865958,0,1,1,0,1,1,1,1
2.206866042,1,1,0,0,1,1,1,1
2.206866167,1,1,1,0,1,1,1,1
2.206866292,1,1,0,0,1,1,1,1
2.206866375,1,1,1,0,1,1,1,1
2.206866500,1,1,0,0,1,1,1,1
2.206866542,1,0,0,0,1,1,1,1
2.206866625,1,0,1,0,1,1,1,1
2.206866708,0,0,0,0,1,1,1,1
2.206867333,0,0,1,0,1,1,1,1
2.206867458,1,0,0,0,1,1,1,1
2.206867542,1,0,1,0,1,1,1,1
2.206867667,1,0,0,0,1,1,1,1
2.206867792,1,0,1,0,1,1,1,1
2.206867875,1,0,0,0,1,1,1,1
2.206868000,1,0,1,0,1,1,1,1
2.206868125,0,0,0,0,1,1,1,1
2.206868208,0,0,1,0,1,1,1,1
2.206868333,0,0,0,0,1,1,1,1
2.206868458,0,0,1,0,1,1,1,1
2.206868542,0,0,0,0,1,1,1,1
2.206868667,0,0,1,0,1,1,1,1
2.206868792,0,0,0,0,1,1,1,1
2.206868875,0,0,1,0,1,1,1,1
2.206869000,0,0,0,0,1,1,1,1
2.206869917,0,0,0,1,1,1,1,1
2.206870875,0,0,0,0,1,1,1,1
2.206871208,1,0,0,0,1,1,1,1
2.206871375,1,0,1,0,1,1,1,1
2.206871500,1,0,0,0,1,1,1,1
2.206871625,1,0,1,0,1,1,1,1
2.206871708,1,0,0,0,1,1,1,1
2.206871833,1,0,1,0,1,1,1,1
2.206871958,0,0,0,0,1,1,1,1
2.206872042,0,0,1,0,1,1,1,1
2.206872167,0,0,0,0,1,1,1,1
2.206872208,0,1,0,0,1,1,1,1
2.206872292,0,1,1,0,1,1,1,1
2.206872375,0,1,0,0,1,1,1,1
2.206872500,0,1,1,0,1,1,1,1
2.206872625,0,1,0,0,1,1,1,1
2.206872708,0,1,1,0,1,1,1,1
2.206872833,1,1,0,0,1,1,1,1
2.206872875,1,0,0,0,1,1,1,1
2.206872958,1,0,1,0,1,1,1,1
2.206873042,1,0,0,0,1,1,1,1
2.206873917,1,0,0,1,1,1,1,1
2.206874833,1,0,0,0,1,1,1,1
2.206875375,1,0,1,0,1,1,1,1
2.206875500,0,0,0,0,1,1,1,1
2.206875625,0,0,1,0,1,1,1,1
2.206875708,1,0,0,0,1,1,1,1
2.206875833,1,0,1,0,1,1,1,1
2.206875958,0,0,0,0,1,1,1,1
2.206876042,0,0,1,0,1,1,1,1
2.206876167,0,0,0,0,1,1,1,1
2.206876208,0,1,0,0,1,1,1,1
2.206876292,0,1,1,0,1,1,1,1
2.206876375,0,1,0,0,1,1,1,1
2.206876500,0,1,1,0,1,1,1,1
2.206876625,0,1,0,0,1,1,1,1
2.206876708,0,1,1,0,1,1,1,1
2.206876833,0,1,0,0,1,1,1,1
2.206876875,0,0,0,0,1,1,1,1
2.206876958,0,0,1,0,1,1,1,1
2.206877042,0,0,0,0,1,1,1,1
2.206877083,1,0,0,0,1,1,1,1
2.206877708,1,0,1,0,1,1,1,1
2.206877792,1,0,0,0,1,1,1,1
2.206877833,0,0,0,0,1,1,1,1
2.206877917,0,0,1,0,1,1,1,1
2.206878042,1,0,0,0,1,1,1,1
2.206878125,1,0,1,0,1,1,1,1
2.206878250,0,0,0,0,1,1,1,1
2.206878375,0,0,1,0,1,1,1,1
2.206878458,0,0,0,0,1,1,1,1
2.206878500,1,0,0,0,1,1,1,1
2.206878583,1,0,1,0,1,1,1,1
2.206878708,0,0,0,0,1,1,1,1
2.206878792,0,0,1,0,1,1,1,1
2.206878917,0,0,0,0,1,1,1,1
2.206879042,0,0,1,0,1,1,1,1
2.206879125,0,0,0,0,1,1,1,1
2.206879250,0,0,1,0,1,1,1,1
2.206879375,1,0,0,0,1,1,1,1
2.206880083,1,0,1,0,1,1,1,1
2.206880208,0,0,0,0,1,1,1,1
2.206880292,0,0,1,0,1,1,1,1
2.206880417,0,0,0,0,1,1,1,1
2.206880542,0,0,1,0,1,1,1,1
2.206880625,0,0,0,0,1,1,1,1
2.206880667,1,0,0,0,1,1,1,1
2.206880750,1,0,1,0,1,1,1,1
2.206880875,1,0,0,0,1,1,1,1
2.206881000,1,0,1,0,1,1,1,1
2.206881083,0,0,0,0,1,1,1,1
2.206881208,0,0,1,0,1,1,1,1
2.206881292,0,0,0,0,1,1,1,1
2.206881333,1,0,0,0,1,1,1,1
2.206881417,1,0,1,0,1,1,1,1
2.206881542,0,0,0,0,1,1,1,1
2.206881667,0,0,1,0,1,1,1,1
2.206881750,1,0,0,0,1,1,1,1
2.206882292,0,0,0,0,1,1,1,1
2.206882500,0,0,1,0,1,1,1,1
2.206882583,0,0,0,0,1,1,1,1
2.206882708,0,0,1,0,1,1,1,1
2.206882792,0,0,0,0,1,1,1,1
2.206882833,1,0,0,0,1,1,1,1
2.206882917,1,0,1,0,1,1,1,1
2.206883042,0,0,0,0,1,1,1,1
2.206883167,0,0,1,0,1,1,1,1
2.206883250,1,0,0,0,1,1,1,1
2.206883375,1,0,1,0,1,1,1,1
2.206883458,1,0,0,0,1,1,1,1
2.206883583,1,0,1,0,1,1,1,1
2.206883708,0,0,0,0,1,1,1,1
2.206883833,0,0,1,0,1,1,1,1
2.206883917,1,0,0,0,1,1,1,1
2.206884042,1,0,1,0,1,1,1,1
2.206884125,1,0,0,0,1,1,1,1
2.206884167,0,0,0,0,1,1,1,1
2.206884875,0,0,1,0,1,1,1,1
2.206884958,0,0,0,0,1,1,1,1
2.206885000,1,0,0,0,1,1,1,1
2.206885083,1,0,1,0,1,1,1,1
2.206885208,1,0,0,0,1,1,1,1
